# dETL = 58.7 nm,dETL = 61.6 nm,dETL = 60.2 nm,dETL = 56.9 nm,dETL = 63 nm,dETL = 70.3 nm
9.491280249593808486e+19,9.187497502146858189e+19,9.304964576450176614e+19,9.617520579087861350e+19,8.900678291936082330e+19,7.311174239699839386e+19
9.520340935071796429e+19,9.221115942436834509e+19,9.337097036864900301e+19,9.643427188202371482e+19,8.937123993195595366e+19,7.354824654305832141e+19
9.549309661185636762e+19,9.254663699711516672e+19,9.369151135731808666e+19,9.669230495395219046e+19,8.973516170180632576e+19,7.398499837269483520e+19
9.578185596949349990e+19,9.288139811689781658e+19,9.401125953598223155e+19,9.694929760440164352e+19,9.009853779048510259e+19,7.442198535885976371e+19
9.606967914037418394e+19,9.321543318144850330e+19,9.433020573284707533e+19,9.720524246093984563e+19,9.046135777521369088e+19,7.485919496776959590e+19
9.635655786808551014e+19,9.354873260931817472e+19,9.464834079911305216e+19,9.746013218117607424e+19,9.082361124916027392e+19,7.529661465926470861e+19
9.664248392329340518e+19,9.388128684015096627e+19,9.496565560923833958e+19,9.771395945297151590e+19,9.118528782173832806e+19,7.573423188716897894e+19
9.692744910397864346e+19,9.421308633495853466e+19,9.528214106119993754e+19,9.796671699464886682e+19,9.154637711890438554e+19,7.617203409964915098e+19
9.721144523567182643e+19,9.454412157639331021e+19,9.559778807675484570e+19,9.821839755520101581e+19,9.190686878345540403e+19,7.661000873957503795e+19
9.749446417168791962e+19,9.487438306902155264e+19,9.591258760170029056e+19,9.846899391449931776e+19,9.226675247532582502e+19,7.704814324487934771e+19
9.777649779335959347e+19,9.520386133959517798e+19,9.622653060613314970e+19,9.871849888349998285e+19,9.262601787188386202e+19,7.748642504891757363e+19
9.805753801027012198e+19,9.553254693732379853e+19,9.653960808470904832e+19,9.896690530445056410e+19,9.298465466822752666e+19,7.792484158082860646e+19
9.833757676048523264e+19,9.586043043414532096e+19,9.685181105690022707e+19,9.921420605109497037e+19,9.334265257747975373e+19,7.836338026589498573e+19
