# Relative position in EML,Generation CBP:Irppy,kr CBP:Irppy (s^-1),tau CBP:Irppy (s),eta_out CBP:Irppy,Generation TPBi:Irppy,kr TPBi:Irppy (s^-1),tau TPBi:Irppy (s),eta_out TPBi:Irppy
6.700000000000000400e-01,8.901953455327630131e+19,1.058527231895921985e+06,8.928047755250551942e-07,2.394366800432070896e-01,1.020168854120782561e+20,1.043935422158436733e+06,9.045894387444277189e-07,2.351223872241717527e-01
6.800000000000000488e-01,8.913082855843633562e+19,1.058537239439579658e+06,8.927967985796031316e-07,2.392147975499134827e-01,1.023118414160065167e+20,1.044000686898166430e+06,9.045360369319589510e-07,2.350459045088199861e-01
6.900000000000000577e-01,8.924090232360283341e+19,1.058550408056344371e+06,8.927863021813186471e-07,2.389907216497232367e-01,1.026057573366604268e+20,1.044068291319184704e+06,9.044807273610748461e-07,2.349673513852631457e-01
7.000000000000000666e-01,8.934975265750055322e+19,1.058566688287529163e+06,8.927733259286870930e-07,2.387644685817866264e-01,1.028986247429115904e+20,1.044138179343204596e+06,9.044235566038552708e-07,2.348867424475790111e-01
7.099999999999999645e-01,8.945737640428611174e+19,1.058586032047225162e+06,8.927579083632480047e-07,2.385360543022939928e-01,1.031904352336939745e+20,1.044210296230599284e+06,9.043645701375983720e-07,2.348040920179933766e-01
7.199999999999999734e-01,8.956377044363952128e+19,1.058608392593008932e+06,8.927400869909786591e-07,2.383054944907272987e-01,1.034811804382447534e+20,1.044284588550650282e+06,9.043038123680057743e-07,2.347194141526279809e-01
7.299999999999999822e-01,8.966893169085440000e+19,1.058633724497433519e+06,8.927198983031665549e-07,2.380728045559776518e-01,1.037708520163445473e+20,1.044361004152563168e+06,9.042413266518281116e-07,2.346327226471272287e-01
7.399999999999999911e-01,8.977285709692733030e+19,1.058661983620268991e+06,8.926973777967940012e-07,2.378379996423310716e-01,1.040594416585563013e+20,1.044439492137233377e+06,9.041771553189832810e-07,2.345440310421678110e-01
7.500000000000000000e-01,8.987554364864638157e+19,1.058693127081485698e+06,8.926725599944340747e-07,2.376010946353255271e-01,1.043469410864637215e+20,1.044520002829745645e+06,9.041113396941553595e-07,2.344533526288518632e-01
7.600000000000000089e-01,8.997698836867801088e+19,1.058727113234950928e+06,8.926454784636780615e-07,2.373621041674818521e-01,1.046333420529081549e+20,1.044602487752575544e+06,9.040439201178961002e-07,2.343607004539874916e-01
7.700000000000000178e-01,9.007718831565352141e+19,1.058763901642823359e+06,8.926161658360995718e-07,2.371210426239114544e-01,1.049186363422255350e+20,1.044686899599485798e+06,9.039749359672283740e-07,2.342660873252573606e-01
7.800000000000000266e-01,9.017614058425425920e+19,1.058803453050627140e+06,8.925846538257681391e-07,2.368779241478032316e-01,1.052028157704815084e+20,1.044773192210093257e+06,9.039044256757712483e-07,2.341695258162800608e-01
7.900000000000000355e-01,9.027384230529545011e+19,1.058845729362983024e+06,8.925509732473240560e-07,2.366327626457924438e-01,1.054858721857062011e+20,1.044861320545084891e+06,9.038324267533959166e-07,2.340710282715631196e-01
8.000000000000000444e-01,9.037029064580975821e+19,1.058890693619986065e+06,8.925151540336195297e-07,2.363855717932136224e-01,1.057677974681280020e+20,1.044951240662071621e+06,9.037589758054217937e-07,2.339706068113534820e-01
8.100000000000000533e-01,9.046548280912896000e+19,1.058938309974205447e+06,8.924772252529422499e-07,2.361363650392407643e-01,1.060485835304060355e+20,1.045042909692057525e+06,9.036841085513663317e-07,2.338682733363849631e-01
8.200000000000000622e-01,9.055941603496502886e+19,1.058988543668295722e+06,8.924372151258257104e-07,2.358851556119166970e-01,1.063282223178623386e+20,1.045136285816512071e+06,9.036078598432526842e-07,2.337640395325254472e-01
8.300000000000000711e-01,9.065208759949015450e+19,1.059041361013199668e+06,8.923951510414581433e-07,2.356319565230738100e-01,1.066067058087126303e+20,1.045231328245023498e+06,9.035302636834962888e-07,2.336579168753274427e-01
8.399999999999999689e-01,9.074349481541546803e+19,1.059096729366926709e+06,8.923510595737010764e-07,2.353767805731494522e-01,1.068840260142962442e+20,1.045327997193522984e+06,9.034513532423688871e-07,2.335499166344814914e-01
8.499999999999999778e-01,9.083363503206907904e+19,1.059154617113895714e+06,8.923049664967221739e-07,2.351196403558971082e-01,1.071601749793050132e+20,1.045426253863060032e+06,9.033711608750574504e-07,2.334400498781767919e-01
8.599999999999999867e-01,9.092250563547253965e+19,1.059214993644823320e+06,8.922568968002537928e-07,2.348605482629963215e-01,1.074351447820116951e+20,1.045526060419118963e+06,9.032897181383228825e-07,2.333283274773693405e-01
8.699999999999999956e-01,9.101010404841693184e+19,1.059277829337146366e+06,8.922068747044858349e-07,2.345995164885639195e-01,1.077089275344967270e+20,1.045627379971456365e+06,9.032070558067720520e-07,2.332147601099603951e-01
8.800000000000000044e-01,9.109642773053705421e+19,1.059343095535959816e+06,8.921549236746025254e-07,2.343365570335670667e-01,1.079815153828744397e+20,1.045730176554448321e+06,9.031232038887485540e-07,2.330993582648875351e-01
8.900000000000000133e-01,9.118147417838542848e+19,1.059410764535466442e+06,8.921010664349651331e-07,2.340716817101428093e-01,1.082529005075181732e+20,1.045834415107936482e+06,9.030381916418528948e-07,2.329821322461285427e-01
9.000000000000000222e-01,9.126524092550435635e+19,1.059480809560911264e+06,8.920453249829591588e-07,2.338049021458232235e-01,1.085230751232847053e+20,1.045940061458554002e+06,9.029520475881000406e-07,2.328630921766224326e-01
9.100000000000000311e-01,9.134772554249779610e+19,1.059553204751001904e+06,8.919877206025026052e-07,2.335362297876717175e-01,1.087920314797369754e+20,1.046047082301521208e+06,9.028647995287251297e-07,2.327422480021067996e-01
9.200000000000000400e-01,9.142892563710135501e+19,1.059627925140791340e+06,8.919282738772326916e-07,2.332656759063282681e-01,1.090597618613667103e+20,1.046155445182902273e+06,9.027764745586402076e-07,2.326196094948751458e-01
9.300000000000000488e-01,9.150883885425180672e+19,1.059704946645020740e+06,8.918670047033696374e-07,2.329932515999696974e-01,1.093262585878152970e+20,1.046265118482301710e+06,9.026870990805583955e-07,2.324951862574555772e-01
9.400000000000000577e-01,9.158746287615501926e+19,1.059784246041901875e+06,8.918039323022731845e-07,2.327189677981840454e-01,1.095915140140939837e+20,1.046376071395998239e+06,9.025966988187853865e-07,2.323689877262115899e-01
9.500000000000000666e-01,9.166479542235342438e+19,1.059865800957333762e+06,8.917390752326924934e-07,2.324428352657618990e-01,1.098555205308033270e+20,1.046488273920500884e+06,9.025052988326892810e-07,2.322410231748676945e-01
9.599999999999999645e-01,9.174083424979181568e+19,1.059949589849542594e+06,8.916724514027189431e-07,2.321648646064067012e-01,1.101182705643509350e+20,1.046601696836513001e+06,9.024129235298574441e-07,2.321113017179613214e-01
9.699999999999999734e-01,9.181557715288237670e+19,1.060035591994127026e+06,8.916040780814513627e-07,2.318850662663658191e-01,1.103797565771688509e+20,1.046716311693297583e+06,9.023195966789480066e-07,2.319798323142220897e-01
9.799999999999999822e-01,9.188902196356848026e+19,1.060123787469511852e+06,8.915339719103727427e-07,2.316034505379831465e-01,1.106399710679295590e+20,1.046832090793433832e+06,9.022253414222390820e-07,2.318466237698805499e-01
9.899999999999999911e-01,9.196116655138765210e+19,1.060214157142785843e+06,8.914621489144532491e-07,2.313200275631766556e-01,1.108989065717609923e+20,1.046949007177949534e+06,9.021301802878876622e-07,2.317116847419076475e-01
1.000000000000000000e+00,9.203200882353309286e+19,1.060306682655922603e+06,8.913886245129819743e-07,2.310348073368408695e-01,1.111565556604605071e+20,1.047067034611826995e+06,9.020341352019011581e-07,2.315750237411866863e-01
